question_id,option_id,option_label,weighted_share,weighted_percent,weighted_n,unweighted_n,is_missing,source_url
2022-05_q12,1,Extremely worried,0.06243716524997283,6.24,62.43716524997269,61,false,https://reports.verasight.io/reports/2022-verasight-national-aapor-omnibus-survey#how-worried-or-not-are-you-that-your-answers-to-survey-questions-are-kept-private
2022-05_q12,2,Very worried,0.052748122901125495,5.27,52.748122901125384,54,false,https://reports.verasight.io/reports/2022-verasight-national-aapor-omnibus-survey#how-worried-or-not-are-you-that-your-answers-to-survey-questions-are-kept-private
2022-05_q12,3,Somewhat worried,0.14880926801485228,14.88,148.80926801485197,150,false,https://reports.verasight.io/reports/2022-verasight-national-aapor-omnibus-survey#how-worried-or-not-are-you-that-your-answers-to-survey-questions-are-kept-private
2022-05_q12,4,Slightly worried,0.17539379778585948,17.54,175.3937977858591,172,false,https://reports.verasight.io/reports/2022-verasight-national-aapor-omnibus-survey#how-worried-or-not-are-you-that-your-answers-to-survey-questions-are-kept-private
2022-05_q12,5,Not at all worried,0.5606116460481899,56.06,560.6116460481887,563,false,https://reports.verasight.io/reports/2022-verasight-national-aapor-omnibus-survey#how-worried-or-not-are-you-that-your-answers-to-survey-questions-are-kept-private
2023-036_q1,1,Strongly oppose,0.12514645442139372,12.51,125.14645442139344,116,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#how-strongly-do-you-support-or-oppose-providing-tax-rebates-for-people-who-purchase-energy-efficient-vehicles-or-solar-panels
2023-036_q1,2,Somewhat oppose,0.1694717958881683,16.95,169.47179588816792,159,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#how-strongly-do-you-support-or-oppose-providing-tax-rebates-for-people-who-purchase-energy-efficient-vehicles-or-solar-panels
2023-036_q1,3,Somewhat favor,0.42610272154654744,42.61,426.1027215465465,434,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#how-strongly-do-you-support-or-oppose-providing-tax-rebates-for-people-who-purchase-energy-efficient-vehicles-or-solar-panels
2023-036_q1,4,Strongly favor,0.27927902814389066,27.93,279.27902814389006,291,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#how-strongly-do-you-support-or-oppose-providing-tax-rebates-for-people-who-purchase-energy-efficient-vehicles-or-solar-panels
2023-036_q10,1,Yes,0.22596669651631354,22.6,225.96669651631305,232,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#are-you-a-first-generation-college-student
2023-036_q10,2,No,0.7740333034836866,77.4,774.0333034836849,768,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#are-you-a-first-generation-college-student
2023-036_q11,1,q11_1,0.6299991864129434,63.0,629.999186412942,632,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#to-which-of-the-following-streaming-services-if-any-do-you-subscribe
2023-036_q11,2,q11_2,0.40614598683600206,40.61,406.14598683600116,413,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#to-which-of-the-following-streaming-services-if-any-do-you-subscribe
2023-036_q11,3,q11_3,0.2817668059279935,28.18,281.7668059279929,288,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#to-which-of-the-following-streaming-services-if-any-do-you-subscribe
2023-036_q11,4,q11_4,0.3689480843446714,36.89,368.94808434467063,375,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#to-which-of-the-following-streaming-services-if-any-do-you-subscribe
2023-036_q11,5,q11_5,0.053102993810134634,5.31,53.10299381013452,53,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#to-which-of-the-following-streaming-services-if-any-do-you-subscribe
2023-036_q11,6,q11_6,0.3064306866454782,30.64,306.4306866454775,312,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#to-which-of-the-following-streaming-services-if-any-do-you-subscribe
2023-036_q11,7,q11_7,0.1941864747560988,19.42,194.18647475609836,196,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#to-which-of-the-following-streaming-services-if-any-do-you-subscribe
2023-036_q11,8,q11_8,0.17251797778045552,17.25,172.51797778045514,164,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#to-which-of-the-following-streaming-services-if-any-do-you-subscribe
2023-036_q12,1,Donald Trump (R),0.7922390755135791,79.22,792.2390755135774,786,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#in-the-2020-presidential-election-of-donald-trump-r-versus-joe-biden-d-who-was-the-loser-of-the-election
2023-036_q12,2,Joe Biden (D),0.20776092448642094,20.78,207.7609244864205,214,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#in-the-2020-presidential-election-of-donald-trump-r-versus-joe-biden-d-who-was-the-loser-of-the-election
2023-036_q13,1,Mitt Romney (R),0.888422812702463,88.84,888.4228127024611,886,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#in-the-2012-presidential-election-of-mitt-romney-r-versus-barack-obama-d-who-was-the-loser-of-the-election
2023-036_q13,2,Barack Obama (D),0.11157718729753707,11.16,111.57718729753684,114,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#in-the-2012-presidential-election-of-mitt-romney-r-versus-barack-obama-d-who-was-the-loser-of-the-election
2023-036_q14,1,Joe Biden,0.34724347683104156,34.72,347.2434768310408,361,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#who-would-win-the-2024-presidential-election-if-held-today
2023-036_q14,2,Donald Trump,0.3809123801060072,38.09,380.91238010600637,349,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#who-would-win-the-2024-presidential-election-if-held-today
2023-036_q14,3,Someone else,0.2718441430629513,27.18,271.8441430629507,290,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#who-would-win-the-2024-presidential-election-if-held-today
2023-036_q15,1,A great deal,0.34827485427349386,34.83,348.27485427349313,326,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#how-much-do-you-personally-worry-about-illegal-immigrants-entering-the-united-states-from-mexico
2023-036_q15,2,A fair amount,0.23494841179763526,23.49,234.94841179763475,237,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#how-much-do-you-personally-worry-about-illegal-immigrants-entering-the-united-states-from-mexico
2023-036_q15,3,Only a little,0.21031723949229306,21.03,210.3172394922926,216,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#how-much-do-you-personally-worry-about-illegal-immigrants-entering-the-united-states-from-mexico
2023-036_q15,4,Not at all,0.20645949443657788,20.65,206.45949443657744,221,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#how-much-do-you-personally-worry-about-illegal-immigrants-entering-the-united-states-from-mexico
2023-036_q16,1,A great deal,0.21282842984192918,21.28,212.8284298419287,205,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#how-much-do-you-personally-worry-about-illegal-immigrants-entering-the-united-states-from-canada
2023-036_q16,2,A fair amount,0.18802096641703214,18.8,188.02096641703173,187,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#how-much-do-you-personally-worry-about-illegal-immigrants-entering-the-united-states-from-canada
2023-036_q16,3,Only a little,0.2629066553691769,26.29,262.90665536917635,261,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#how-much-do-you-personally-worry-about-illegal-immigrants-entering-the-united-states-from-canada
2023-036_q16,4,Not at all,0.33624394837186183,33.62,336.2439483718611,347,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#how-much-do-you-personally-worry-about-illegal-immigrants-entering-the-united-states-from-canada
2023-036_q17,1,Not at all likely,0.12549504778414144,12.55,125.49504778414116,121,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#how-likely-are-you-to-pick-up-a-piece-of-litter-that-you-see-on-the-sidewalk
2023-036_q17,2,A little likely,0.23233487797134572,23.23,232.3348779713452,232,false,https://reports.verasight.io/reports/aapor-2023-omnibus-survey-2023-036#how-likely-are-you-to-pick-up-a-piece-of-litter-that-you-see-on-the-sidewalk
